epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.404,1.71932,0.29182,0.22482,1.78738,1.22718,0.3477,0.57436,0.4805,0.27567,0.40069,0.6658,0.6078,0.59648,1.44145,0.13638,0.00467,1.88108,1.0028,0.000552788,0.000552788,0.000552788
2,474.464,1.4372,0.13748,0.0785,1.19533,1.02476,0.37226,0.59776,0.52381,0.31898,0.42135,0.68986,0.63754,0.62681,1.29881,0.1134,0.00357,1.53715,0.98365,0.00109474,0.00109474,0.00109474
3,678.797,1.39844,0.12898,0.07252,1.11439,1.00944,0.4823,0.60271,0.54877,0.33465,0.54149,0.69397,0.67243,0.65918,1.24697,0.10571,0.00292,1.30479,0.95911,0.00162293,0.00162293,0.00162293
4,868.992,1.37967,0.1232,0.06922,1.1026,1.00491,0.64029,0.62826,0.64656,0.40343,0.68857,0.68937,0.74187,0.7345,1.2046,0.09609,0.00366,1.03387,0.95671,0.00160511,0.00160511,0.00160511
5,1057.75,1.32537,0.11694,0.06704,1.04591,0.99274,0.6611,0.64299,0.67406,0.42607,0.70444,0.71595,0.77262,0.76345,1.15973,0.10049,0.0067,0.96859,0.94773,0.00158448,0.00158448,0.00158448
6,1251.91,1.30852,0.1113,0.06422,1.01134,0.9876,0.67814,0.63653,0.67294,0.43492,0.7151,0.70316,0.75847,0.75141,1.13565,0.09735,0.00369,0.96654,0.9325,0.00156385,0.00156385,0.00156385
7,1443.31,1.27916,0.10686,0.06169,0.9865,0.9794,0.61846,0.62026,0.6408,0.4094,0.65977,0.69654,0.74199,0.73414,1.17022,0.09309,0.00397,0.97943,0.94371,0.00154323,0.00154323,0.00154323
8,1638.72,1.26677,0.10441,0.0583,0.97008,0.97355,0.67375,0.63878,0.67719,0.44048,0.71344,0.69632,0.7578,0.74963,1.12507,0.09033,0.00284,0.92037,0.93055,0.0015226,0.0015226,0.0015226
9,1837.93,1.25044,0.10039,0.05873,0.95705,0.96951,0.55244,0.65221,0.63705,0.41036,0.58448,0.71767,0.72584,0.71707,1.09434,0.08927,0.00583,1.08193,0.93038,0.00150197,0.00150197,0.00150197
10,2048.86,1.22598,0.09963,0.05927,0.91947,0.96577,0.67451,0.65673,0.68988,0.4438,0.70565,0.7289,0.77832,0.77049,1.12356,0.08799,0.00393,0.93717,0.93152,0.00148134,0.00148134,0.00148134
11,2296.7,1.22323,0.09727,0.05917,0.91582,0.96442,0.70796,0.67524,0.70673,0.46806,0.7456,0.73168,0.79039,0.78276,1.06796,0.08589,0.00478,0.8638,0.92306,0.00146071,0.00146071,0.00146071
12,2501.4,1.21302,0.09634,0.05544,0.89588,0.95537,0.65462,0.65226,0.69443,0.45787,0.68042,0.71496,0.77508,0.76752,1.07862,0.08244,0.00692,0.90004,0.93832,0.00144008,0.00144008,0.00144008
13,2743.67,1.21342,0.09458,0.05316,0.8867,0.95709,0.62788,0.64339,0.65265,0.43303,0.66497,0.71165,0.74642,0.7378,1.0826,0.08424,0.00415,0.98977,0.92437,0.00141945,0.00141945,0.00141945
14,2978.42,1.20053,0.09312,0.05156,0.86611,0.94936,0.69264,0.68278,0.72215,0.48635,0.72203,0.74243,0.80182,0.79507,1.03594,0.0816,0.00507,0.81717,0.91372,0.00139882,0.00139882,0.00139882
15,3211.53,1.18583,0.09138,0.054,0.85609,0.95016,0.71295,0.70662,0.74352,0.50069,0.75395,0.76726,0.82289,0.81547,1.01551,0.078,0.00765,0.80626,0.90545,0.00137819,0.00137819,0.00137819
16,3444.52,1.17524,0.08993,0.05403,0.84761,0.94677,0.69027,0.69133,0.73296,0.48946,0.71983,0.7538,0.81344,0.80733,1.05224,0.07808,0.01012,0.79219,0.91529,0.00135756,0.00135756,0.00135756
17,3685.73,1.16557,0.08888,0.05305,0.83831,0.94864,0.66432,0.67079,0.7038,0.46819,0.69218,0.74445,0.79086,0.78347,1.05745,0.08022,0.00524,0.88147,0.91938,0.00133693,0.00133693,0.00133693
18,3937.48,1.15744,0.08827,0.05179,0.83532,0.94435,0.70561,0.68586,0.7328,0.4932,0.72919,0.75932,0.8129,0.80631,1.03023,0.07673,0.00377,0.84627,0.91352,0.0013163,0.0013163,0.0013163
19,4172.02,1.15228,0.08809,0.05117,0.81679,0.94241,0.72831,0.70317,0.74331,0.50594,0.76379,0.76278,0.8196,0.81257,0.99579,0.07578,0.00386,0.79038,0.90381,0.00129568,0.00129568,0.00129568
20,4401.4,1.15674,0.08641,0.05087,0.81538,0.93971,0.71607,0.68556,0.73902,0.50114,0.73857,0.75062,0.81231,0.80606,1.00239,0.07567,0.00786,0.79608,0.9031,0.00127505,0.00127505,0.00127505
21,4646.64,1.15051,0.08481,0.04895,0.80389,0.93833,0.74175,0.7166,0.76435,0.5179,0.77066,0.78093,0.83772,0.83157,1.00966,0.07458,0.00321,0.76083,0.9022,0.00125442,0.00125442,0.00125442
22,4888.27,1.13232,0.08397,0.05041,0.79485,0.93553,0.74254,0.70922,0.75454,0.51884,0.77065,0.76876,0.83278,0.82631,0.99012,0.07434,0.00364,0.73998,0.9045,0.00123379,0.00123379,0.00123379
23,5151.06,1.12703,0.08421,0.04785,0.78617,0.93382,0.75214,0.70369,0.75428,0.51734,0.77953,0.75788,0.82586,0.81889,0.98888,0.07614,0.00525,0.78465,0.8979,0.00121316,0.00121316,0.00121316
24,5413.99,1.11929,0.08108,0.04919,0.77413,0.93445,0.7442,0.71092,0.75967,0.51934,0.78204,0.7621,0.8316,0.8259,0.99301,0.07338,0.0089,0.71025,0.89759,0.00119253,0.00119253,0.00119253
25,5675.23,1.12305,0.08307,0.04719,0.77553,0.93203,0.73038,0.71776,0.7608,0.51906,0.76269,0.78006,0.83555,0.82939,0.98406,0.0727,0.00301,0.77146,0.90066,0.0011719,0.0011719,0.0011719
26,5930.42,1.11437,0.08225,0.04772,0.76514,0.92911,0.72456,0.7091,0.75055,0.51273,0.75306,0.76964,0.82415,0.81841,0.97403,0.07319,0.00367,0.75911,0.89699,0.00115127,0.00115127,0.00115127
27,6171.73,1.11603,0.08004,0.04863,0.76528,0.93097,0.74257,0.70946,0.76317,0.52568,0.768,0.77214,0.83487,0.82934,0.98323,0.07185,0.00592,0.74551,0.89824,0.00113064,0.00113064,0.00113064
28,6404.8,1.11533,0.07984,0.04695,0.75832,0.92804,0.75616,0.70331,0.76823,0.52736,0.77513,0.76925,0.84155,0.83548,0.97221,0.07146,0.00334,0.7373,0.89094,0.00111001,0.00111001,0.00111001
29,6631.99,1.09642,0.07864,0.04689,0.74946,0.92673,0.73979,0.71955,0.76321,0.5256,0.77627,0.7788,0.83912,0.8336,0.97462,0.0723,0.00406,0.73787,0.89661,0.00108938,0.00108938,0.00108938
30,6865.42,1.11139,0.0802,0.04413,0.75264,0.92682,0.7807,0.71549,0.7817,0.53902,0.80639,0.78024,0.85262,0.84667,0.95224,0.07159,0.0023,0.74345,0.88814,0.00106876,0.00106876,0.00106876
31,7080.86,1.09525,0.07651,0.04746,0.73682,0.92587,0.75572,0.71874,0.77097,0.53263,0.78489,0.77818,0.84448,0.83878,0.96458,0.07117,0.00659,0.70603,0.89255,0.00104813,0.00104813,0.00104813
32,7285.48,1.08764,0.07743,0.04815,0.73339,0.92256,0.77081,0.72958,0.78247,0.5395,0.79841,0.78759,0.85255,0.84773,0.96002,0.06927,0.00295,0.71123,0.89112,0.0010275,0.0010275,0.0010275
33,7486.98,1.08229,0.0763,0.04599,0.72516,0.91842,0.7553,0.70776,0.76785,0.52748,0.78245,0.76443,0.84224,0.83672,0.96529,0.06989,0.00545,0.7237,0.89361,0.00100687,0.00100687,0.00100687
34,7697.02,1.08119,0.07624,0.04463,0.7238,0.92293,0.77991,0.72922,0.78403,0.54523,0.80078,0.79322,0.85548,0.85032,0.95115,0.06886,0.00392,0.6982,0.89177,0.000986239,0.000986239,0.000986239
35,7913.33,1.07555,0.0752,0.04697,0.71608,0.91886,0.7592,0.73264,0.77616,0.53902,0.78377,0.79045,0.84769,0.84233,0.95149,0.06787,0.00309,0.71984,0.88891,0.00096561,0.00096561,0.00096561
36,8127.87,1.06427,0.07427,0.04671,0.70749,0.91538,0.75763,0.7245,0.78068,0.54149,0.7795,0.78957,0.8472,0.8421,0.94621,0.06654,0.00536,0.71161,0.89029,0.000944981,0.000944981,0.000944981
37,8339.67,1.06798,0.07435,0.04494,0.69964,0.91499,0.7397,0.71471,0.76367,0.52835,0.76918,0.77074,0.83842,0.83257,0.96089,0.06849,0.00247,0.74155,0.89349,0.000924352,0.000924352,0.000924352
38,8552.52,1.06368,0.0747,0.04416,0.69655,0.91274,0.76866,0.72363,0.78286,0.54677,0.77525,0.79365,0.84887,0.84431,0.94207,0.06651,0.00472,0.69417,0.88908,0.000903722,0.000903722,0.000903722
39,8764.37,1.05252,0.07445,0.04652,0.69158,0.91466,0.76795,0.74298,0.79223,0.55479,0.79785,0.80219,0.86285,0.85807,0.93328,0.06513,0.00346,0.66787,0.88877,0.000883093,0.000883093,0.000883093
40,8980.64,1.04684,0.07171,0.04348,0.68335,0.91048,0.79026,0.72663,0.79123,0.556,0.80254,0.79089,0.85943,0.8545,0.92143,0.06589,0.0039,0.68371,0.88719,0.000862464,0.000862464,0.000862464
41,9197.14,1.05633,0.07327,0.04376,0.68405,0.91047,0.7779,0.74065,0.79634,0.55724,0.80496,0.79457,0.86342,0.85858,0.92117,0.06565,0.00387,0.64213,0.88739,0.000841835,0.000841835,0.000841835
42,9408.79,1.0483,0.07249,0.04464,0.67316,0.9075,0.77358,0.73245,0.7917,0.55304,0.79409,0.79536,0.85867,0.85392,0.9297,0.06462,0.00319,0.67042,0.88717,0.000821206,0.000821206,0.000821206
43,9624.67,1.04707,0.0741,0.04247,0.67372,0.90893,0.78216,0.74082,0.79576,0.55748,0.80849,0.79721,0.86538,0.86008,0.92579,0.06501,0.00498,0.6871,0.88811,0.000800577,0.000800577,0.000800577
44,9840.42,1.03659,0.07137,0.04193,0.66196,0.9063,0.7627,0.73842,0.78577,0.54863,0.78229,0.79422,0.85214,0.84714,0.92295,0.06612,0.00286,0.70706,0.88999,0.000779948,0.000779948,0.000779948
45,10058.5,1.03207,0.07053,0.0419,0.65991,0.90771,0.79388,0.73832,0.79755,0.55991,0.81524,0.80059,0.86468,0.86008,0.91841,0.06659,0.00407,0.66911,0.88905,0.000759318,0.000759318,0.000759318
46,10286.3,1.03337,0.07049,0.04273,0.65575,0.90641,0.78086,0.74009,0.79419,0.55943,0.80221,0.80596,0.86429,0.85983,0.91682,0.06579,0.00469,0.67728,0.88619,0.000738689,0.000738689,0.000738689
47,10518.1,1.02771,0.07035,0.04324,0.65283,0.90522,0.77132,0.73689,0.79197,0.55685,0.79129,0.80233,0.86194,0.85676,0.91411,0.06443,0.00396,0.67466,0.88368,0.00071806,0.00071806,0.00071806
48,10729.8,1.02162,0.07033,0.04053,0.64521,0.90233,0.78215,0.73698,0.79378,0.55801,0.80659,0.79636,0.86097,0.85645,0.91862,0.06537,0.0018,0.67459,0.88502,0.000697431,0.000697431,0.000697431
49,10943.1,1.02718,0.07018,0.0429,0.65015,0.90425,0.78313,0.74609,0.79808,0.56435,0.81179,0.807,0.86595,0.86146,0.90483,0.06348,0.00462,0.67577,0.883,0.000676802,0.000676802,0.000676802
50,11154.6,1.01846,0.06959,0.04145,0.63762,0.90114,0.78028,0.76137,0.80588,0.56629,0.81173,0.81081,0.87172,0.86679,0.91092,0.06387,0.00409,0.64931,0.88442,0.000656173,0.000656173,0.000656173
51,11374.1,1.02713,0.06998,0.04079,0.63656,0.90093,0.77289,0.75516,0.79638,0.56008,0.80014,0.81418,0.86334,0.85907,0.91386,0.06426,0.00392,0.63042,0.88759,0.000635544,0.000635544,0.000635544
52,11585.8,1.01726,0.06757,0.03887,0.63229,0.89876,0.78696,0.74929,0.80395,0.56745,0.80331,0.8137,0.86857,0.86429,0.90028,0.06421,0.00356,0.62443,0.88109,0.000614915,0.000614915,0.000614915
53,11796.1,1.00342,0.06783,0.04234,0.62618,0.89835,0.78765,0.74594,0.80106,0.56601,0.80723,0.80909,0.86696,0.86231,0.89848,0.06379,0.00209,0.63652,0.88191,0.000594286,0.000594286,0.000594286
54,12010.1,0.9948,0.06704,0.04106,0.62314,0.89728,0.78054,0.759,0.80578,0.56609,0.81026,0.80989,0.87108,0.86684,0.90638,0.06349,0.00239,0.61662,0.88259,0.000573656,0.000573656,0.000573656
55,12225.3,0.99796,0.06805,0.04122,0.61665,0.89717,0.78317,0.75016,0.80048,0.56524,0.81037,0.80746,0.86794,0.86361,0.90667,0.06526,0.00433,0.64174,0.88439,0.000553027,0.000553027,0.000553027
56,12440.1,0.99931,0.06725,0.03965,0.61217,0.89404,0.78707,0.75295,0.80426,0.56933,0.81629,0.80885,0.87163,0.86717,0.89361,0.06603,0.00223,0.62154,0.88046,0.000532398,0.000532398,0.000532398
57,12651.4,0.99095,0.06529,0.03923,0.60594,0.89168,0.79864,0.75053,0.80751,0.57144,0.82402,0.80224,0.87251,0.8681,0.90139,0.06378,0.00223,0.61437,0.88002,0.000511769,0.000511769,0.000511769
58,12859.3,0.98229,0.06572,0.04065,0.60779,0.89517,0.78606,0.75327,0.80236,0.56714,0.80948,0.81124,0.86776,0.8633,0.90198,0.0626,0.003,0.65555,0.88278,0.00049114,0.00049114,0.00049114
59,13067.5,0.99244,0.06577,0.04054,0.60251,0.8928,0.79193,0.74999,0.80814,0.57131,0.81417,0.81025,0.87383,0.86924,0.90053,0.06371,0.00312,0.62238,0.88208,0.000470511,0.000470511,0.000470511
60,13276.4,0.98762,0.06582,0.03887,0.60169,0.89274,0.80067,0.75515,0.81131,0.57553,0.82532,0.80987,0.87525,0.87103,0.89556,0.06218,0.00265,0.59223,0.88094,0.000449882,0.000449882,0.000449882
61,13487.3,0.98005,0.06462,0.0404,0.59985,0.89121,0.79203,0.75089,0.80623,0.56943,0.81845,0.80763,0.87298,0.86811,0.90457,0.0631,0.00249,0.60354,0.88393,0.000429253,0.000429253,0.000429253
62,13695.7,0.97694,0.06444,0.03849,0.5937,0.88755,0.79522,0.75156,0.80894,0.57471,0.81929,0.80951,0.8749,0.87058,0.90171,0.0637,0.00255,0.59898,0.884,0.000408623,0.000408623,0.000408623
63,13904.9,0.97894,0.06397,0.03996,0.59122,0.88849,0.78238,0.75731,0.80511,0.57108,0.80584,0.81573,0.87177,0.86686,0.89944,0.06363,0.00321,0.60416,0.8833,0.000387994,0.000387994,0.000387994
