epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.684,1.72308,0.28739,0.24309,1.9632,1.22652,0.54656,0.56353,0.54755,0.32806,0.58644,0.67222,0.67168,0.66111,1.31474,0.12427,0.01568,1.15364,0.9712,0.000255669,0.000255669,0.000255669
2,373.317,1.41925,0.14206,0.08199,1.23256,1.01627,0.40864,0.58831,0.48844,0.27439,0.4504,0.66997,0.606,0.59768,1.35676,0.11842,0.00871,1.2529,0.97523,0.000506934,0.000506934,0.000506934
3,554.072,1.36188,0.12606,0.07174,1.12668,0.99973,0.58565,0.63249,0.62726,0.38631,0.62789,0.70974,0.73059,0.7211,1.22728,0.10436,0.00821,1.0665,0.95457,0.000753123,0.000753123,0.000753123
4,732.694,1.34132,0.12135,0.06677,1.09134,0.992,0.67691,0.63999,0.67796,0.42377,0.72134,0.71137,0.76564,0.75747,1.1992,0.1006,0.00651,0.95775,0.94193,0.000746161,0.000746161,0.000746161
5,912.053,1.30524,0.11279,0.06555,1.03266,0.98242,0.63817,0.62218,0.64483,0.40401,0.67875,0.69559,0.73824,0.73086,1.1717,0.09579,0.01066,1.00424,0.94578,0.000738548,0.000738548,0.000738548
6,1090.15,1.2884,0.11149,0.06289,1.01001,0.97488,0.68542,0.65094,0.68664,0.44234,0.72107,0.71843,0.77174,0.76427,1.1516,0.09439,0.00413,0.90147,0.93084,0.000730935,0.000730935,0.000730935
7,1269.8,1.27179,0.10677,0.05992,0.98299,0.97394,0.69248,0.64126,0.68702,0.44951,0.72713,0.70767,0.77138,0.76395,1.10953,0.08823,0.00384,0.90618,0.92604,0.000723321,0.000723321,0.000723321
8,1447.98,1.24849,0.10213,0.06035,0.95948,0.96844,0.66385,0.66284,0.69,0.45577,0.69349,0.72743,0.77496,0.76782,1.09781,0.08911,0.00452,0.88731,0.92246,0.000715708,0.000715708,0.000715708
9,1628.15,1.23404,0.10024,0.05937,0.93564,0.96271,0.65984,0.65559,0.68775,0.44813,0.67865,0.73294,0.77197,0.76486,1.10081,0.08617,0.00309,0.93322,0.92149,0.000708095,0.000708095,0.000708095
10,1806.56,1.21572,0.10019,0.05862,0.9223,0.95998,0.66451,0.67093,0.69541,0.45344,0.69604,0.74206,0.77895,0.77162,1.09851,0.08549,0.00363,0.89659,0.92124,0.000700482,0.000700482,0.000700482
11,1985.99,1.20807,0.09876,0.05806,0.91248,0.956,0.73124,0.68815,0.73654,0.49241,0.76834,0.74376,0.81792,0.81161,1.06716,0.083,0.00465,0.82532,0.91509,0.000692869,0.000692869,0.000692869
12,2168.27,1.21034,0.0963,0.05573,0.88748,0.95287,0.70648,0.67916,0.72165,0.48506,0.73107,0.74168,0.79417,0.788,1.05473,0.08218,0.00481,0.80724,0.91559,0.000685256,0.000685256,0.000685256
13,2347.92,1.20348,0.09415,0.05483,0.87622,0.9526,0.69454,0.70204,0.74051,0.49484,0.73481,0.75421,0.82151,0.81533,1.05305,0.07909,0.00386,0.79361,0.91148,0.000677643,0.000677643,0.000677643
14,2526.29,1.18749,0.09355,0.05502,0.86666,0.94536,0.6976,0.6968,0.73084,0.49328,0.7277,0.75479,0.80988,0.80421,1.05188,0.07962,0.00343,0.82996,0.91556,0.00067003,0.00067003,0.00067003
